Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
Summercool,Maroon,7649,3.8,7.0,Semi Automatic,Top Load,
Haier,with In-built Heater,26350,4.3,10.5,Fully Automatic,Top Load,
Voltas,Beko by A Tata Product with In-built Hea...,22625,4.1,7.0,Fully Automatic,Front Load,3.0
Lloyd,by Havells Toughened Glass Soft Closing Glass Lids 1300 RPM Soak Function 3 Wash Progr...,14490,4.3,8.5,,,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
MOTOROLA,Super Steam Technology with In-built Heater B...,22190,4.1,8.0,Fully Automatic,Front Load,2.0
LG,AI Direct Drive Technology Wi-Fi Enabled Steam+ With Wrinkle Care Intelligent & Con...,39990,4.4,9.0,,,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,12990,4.4,9.0,Semi Automatic,Top Load,2.0
Voltas,Beko,10829,4.4,8.0,Semi Automatic,Top Load,1.0
Whirlpool,Maroon,11260,4.4,7.0,Semi Automatic,Top Load,2.0
LG,9/ Washer with Dryer AI Direct Drive Technology Wi-Fi Enabled Steam uce germs & allergens...,48950,4.3,5.0,,,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
LG,NA,14995,4.4,8.5,Semi Automatic,Top Load,
Godrej,AI Powe FabriSafe Drum Eco Wash,20990,4.1,6.5,Fully Automatic,Front Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Whirlpool,NA,12440,4.4,8.0,Semi Automatic,Top Load,2.0
Godrej,Aquajet Pulsator Drying at 1400 RPM Speed Spin Shower W...,13990,4.1,10.0,Semi Automatic,Top Load,2.0
MOTOROLA,Super Steam Technology with In-built Heater B...,22190,4.1,8.0,Fully Automatic,Front Load,2.0
BOSCH,with Vario Pulsator Stain Scrubber & 1360 High RPM Spin Motor Top Lo...,12200,4.2,8.0,Semi Automatic,,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,12770,4.3,12.0,Semi Automatic,Top Load,
Haier,Washer Dryer ( Washer / Dryer ) Powe by AI-DBT Direct Drive Technology Wi-Fi...,56999,4.3,11.0,,,
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
ONIDA,Hexafin Pulsator Inbuilt Basket 1450 RPM Gre...,10286,4.2,8.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,22999,4.0,14.0,Semi Automatic,Top Load,2.0
ONIDA,Hexafin Pulsator Inbuilt Basket 1450 RPM Gre...,10286,4.2,8.0,Semi Automatic,Top Load,2.0
Sansui,NA,7690,4.2,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,12990,4.4,9.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,12440,4.4,8.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,Toughened Glass with Anti Bacterial Vortex Pulsator 1300 RPM Spray Function Wash Progra...,17990,4.3,14.0,,,3.0
Godrej,with In-built Heater,23490,4.0,7.0,Fully Automatic,Front Load,2.0
Voltas,Beko,17890,4.2,9.0,Fully Automatic,Top Load,5.0
Haier,With Ultra Fresh Air Technology Oceanus Wave Steel Drum Balance Clean Pulsator Custom...,24990,4.2,10.5,,,3.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Thomson,NA,8499,4.2,8.5,Semi Automatic,Top Load,2.0
Whirlpool,NA,8999,4.3,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
LG,Maroon,12899,4.4,7.5,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product Maroon,8439,4.3,7.0,Semi Automatic,Top Load,
Samsung,NA,16080,4.4,11.5,Semi Automatic,Top Load,
LG,NA,12999,4.4,7.0,Semi Automatic,Top Load,
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Whirlpool,Hard Water wash,12990,4.3,9.0,Semi Automatic,Top Load,4.0
IFB,with Steam Refresh program 9 Swirl Wash Eco Inverter with AI Front...,44780,4.3,10.0,Fully Automatic,,4.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
BOSCH,with Vario Pulsator + Scrub Zone & 1360 High RPM Spin Motor Top Loa...,14599,4.1,8.5,Semi Automatic,,2.0
IFB,with DeepClean Technology PowerSteam AI Powe Aqua Energie Top Loa...,25490,4.2,9.0,Fully Automatic,,4.0
realme,TechLife In-built Heater with ExpertWash with I...,21190,4.1,7.0,Fully Automatic,Front Load,2.0
Godrej,with In-built Heater,24990,3.8,11.0,Fully Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,NA,14689,4.6,8.5,Semi Automatic,Top Load,2.0
IFB,with Steam Refresh program 9 Swirl Wash Eco Inverter with AI Front ...,47493,4.3,9.0,Fully Automatic,,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Voltas,Beko by A Tata Product Maroon,8290,4.3,7.0,Semi Automatic,Top Load,
LG,NA,16349,4.3,9.5,Semi Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range Whi...,9890,4.3,8.5,Semi Automatic,Top Load,2.0
Samsung,AI Wash AI Energy Mode Wi-Fi Ecobubble AI VRT+ Super Speed Soft Closing Do...,35990,4.3,12.0,,,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
BOSCH,with 1360 High RPM Spin Motor Multicolor,13999,4.1,9.0,Semi Automatic,Top Load,2.0
LG,with Roller Jet Pulsator with Soak Wind Jet Dry and Rat Away (Spin Tub Capacity)...,13189,4.4,8.0,,,
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
Whirlpool,Inverter 100+ Tough Stains Steam Technology Washing ...,23490,4.1,7.0,Fully Automatic,Front Load,2.0
Lloyd,by Havells Orange,14130,4.3,9.0,Semi Automatic,Top Load,
Whirlpool,with In-built Heater,23990,4.2,10.0,Fully Automatic,Top Load,3.0
IFB,with Steam Refresh program 9 Swirl Wash Eco Inverter with AI Front...,45950,4.3,11.0,Fully Automatic,,4.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
IFB,with 99.9% Dry Clothes Dryer with In-built Heater,21890,4.0,5.5,,,4.0
TCL,Digital Inverter Motor| 1200 RPM | with In-built...,19990,4.0,6.5,Fully Automatic,Front Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
Voltas,Beko Maroon,17999,4.3,8.5,Semi Automatic,Top Load,1.0
Midea,Rust Proof Body Rat Away Feature Maroon ...,6790,4.2,6.5,Semi Automatic,Top Load,2.0
LG,AI Direct Drive Technology Wi-Fi Enabled Steam+ With Wrinkle Care Intelligent & Con...,39990,4.4,9.0,,,2.0
IFB,with In-built Heater,21130,4.2,7.5,Fully Automatic,Top Load,4.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
Voltas,Beko by A Tata Product Maroon,8880,4.4,7.0,Semi Automatic,Top Load,
IFB,with DeepClean Technology PowerSteam AI Powe Aqua Energie Top L...,21999,4.2,7.5,Fully Automatic,,4.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Electrolux,Smart Sensors Colour Care Venting Dryer with Reverse Tumbling UltimateCare 3...,34990,4.8,7.5,,,3.0
Godrej,With Soft Shut Wash Lid Tri Roto Scrub Pulsator With Stainless Steel Wash and Spi...,14990,4.2,8.0,,,2.0
Whirlpool,Beige,9990,4.3,7.0,Semi Automatic,Top Load,
Voltas,Beko Maroon,8990,4.5,7.0,Semi Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
InnoQ,| Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,6990,4.2,7.0,,,1.0
Whirlpool,NA,10999,4.1,7.5,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
Voltas,Beko Maroon,9839,4.6,7.0,Semi Automatic,Top Load,1.0
BOSCH,with Vario Pulsator Stain Scrubber & 1360 High RPM Spin Motor Top ...,11579,4.1,7.5,Semi Automatic,,2.0
LG,AI Direct Drive Technology Steam 6 Motion Direct Drive Jet Spray+ Wi-Fi Enabled ...,32990,4.4,10.0,,,2.0
ONIDA,NA,9990,4.2,6.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
Haier,Toughened Glass with Anti Bacterial Vortex Pulsator 1300 RPM Spray Function Wash Progra...,17990,4.3,14.0,,,3.0
Lloyd,NA,10799,4.3,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Whirlpool,Purple,13049,4.3,8.0,Semi Automatic,Top Load,2.0
Godrej,with Tri- Roto Scrub Pulsator,12499,4.3,8.0,Semi Automatic,Top Load,2.0
Sansui,NA,9990,4.0,9.0,Semi Automatic,Top Load,2.0
Whirlpool,Maroon,12250,4.1,8.5,Semi Automatic,Top Load,
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Thomson,NA,10999,3.9,7.5,Fully Automatic,Top Load,2.0
Voltas,Beko Maroon,8439,4.3,7.0,Semi Automatic,Top Load,5.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
IFB,with Steam Refresh program 9 Swirl Wash Eco Inverter with AI Front ...,47493,4.3,9.0,Fully Automatic,,4.0
Sharp,NA,7490,,7.0,Semi Automatic,Top Load,2.0
Samsung,EcoBubble Technology Hygiene Steam Digital Inverter W...,30881,4.3,7.0,Fully Automatic,Front Load,2.0
Voltas,Beko Maroon,8439,4.3,7.0,Semi Automatic,Top Load,5.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
InnoQ,| Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7195,4.2,7.0,,,1.0
Voltas,Beko,10785,4.3,8.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
IFB,with In-built Heater,50500,,11.0,Fully Automatic,Front Load,10.0
LG,11/ Washer with Dryer AI Direct Drive Technology Wi-Fi Enabled uce germs & allergens with...,55990,,7.0,,,
IFB,with In-built Heater,34180,4.1,12.0,Fully Automatic,Top Load,4.0
IFB,with In-built Heater,43430,,10.0,Fully Automatic,Front Load,10.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Godrej,NA,14690,4.2,7.0,Fully Automatic,Top Load,1.0
Reliance,Washer only,5290,4.0,7.5,,,1.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
InnoQ,| Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automa...,7295,4.2,7.5,,,1.0
Voltas,Beko by A Tata Product,14490,3.9,7.0,Fully Automatic,Front Load,
Godrej,NA,14690,4.2,7.0,Fully Automatic,Top Load,1.0
Voltas,Beko,10785,4.3,8.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Voltas,NA,13790,,12.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,14900,4.2,12.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,14520,3.9,7.0,Fully Automatic,Top Load,
realme,TechLife with In-built Heater,25990,4.1,10.0,Fully Automatic,Front Load,2.0
Voltas,Beko by A Tata Product,17343,4.1,14.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,10990,4.3,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
BOSCH,with 1360 High RPM Spin Motor Multicolor,12999,4.1,8.0,Semi Automatic,Top Load,2.0
Samsung,NA,13751,4.1,7.5,Semi Automatic,Top Load,
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Whirlpool,with Hard Water Wash,17890,4.2,7.0,Fully Automatic,Top Load,2.0
IFB,with In-built Heater Beige,29930,,7.0,Fully Automatic,Front Load,4.0
Sharp,NA,7490,,7.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,12810,4.3,8.5,Semi Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
Voltas,Beko by A Tata Product,14490,3.9,7.0,Fully Automatic,Front Load,
Uniboom,NA,17990,,7.0,Semi Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Motorola,Smart Wi-Fi Enabled Inverter Technology with In-buil...,26690,4.0,6.5,Fully Automatic,Front Load,2.0
ONIDA,Bubble Drum Wash Waterfall Technology Bla...,13199,4.2,6.5,Fully Automatic,Top Load,2.0
IFB,Powe by AI Steam Refresh,36990,4.4,8.0,Fully Automatic,Front Load,4.0
Whirlpool,NA,17599,4.1,10.5,Semi Automatic,Top Load,
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,10390,4.5,7.0,Semi Automatic,Top Load,2.0
Uniboom,NA,27990,,7.5,Fully Automatic,Top Load,1.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
IFB,with In-built Heater,50500,,11.0,Fully Automatic,Front Load,10.0
realme,TechLife In-built Heater with ExpertWash with I...,23290,4.1,8.0,Fully Automatic,Front Load,2.0
LG,NA,11767,4.5,7.0,Semi Automatic,Top Load,
Uniboom,Maroon,16990,,6.5,Semi Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Whirlpool,NA,15490,4.4,6.5,Fully Automatic,Top Load,
Godrej,460 W PowerMax Wash Motor Boderless Design With Toughened Glass Lid Top Lo...,13490,4.3,8.0,Semi Automatic,,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Midea,Rat Away Feature,9739,3.9,7.0,Semi Automatic,Top Load,2.0
Samsung,with Steam with In-built Heater,32803,3.9,6.5,Fully Automatic,Front Load,2.0
Godrej,with Roller coaster wash technology,19499,4.2,7.5,Fully Automatic,Top Load,
Thomson,PureWash with Stainless Steel Drum Magic Filter and Multiple Wash Programs Fully Automat...,13999,4.0,9.0,,,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Uniboom,NA,28990,,8.0,Fully Automatic,Top Load,1.0
Uniboom,NA,24990,,7.0,Fully Automatic,Top Load,1.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
BOSCH,INVERTERTOUCHCONTROL 1200RPM with In-built Heate...,31500,4.4,8.0,Fully Automatic,Front Load,
LG,NA,18499,4.2,11.5,Semi Automatic,Top Load,2.0
LG,NA,18690,4.2,11.5,Semi Automatic,Top Load,1.0
Samsung,NA,17440,4.0,7.0,Fully Automatic,Top Load,3.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Garment Sterilization with In-built H...,24190,4.2,7.0,Fully Automatic,Front Load,2.0
Samsung,NA,15999,4.4,8.5,Semi Automatic,Top Load,
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Whirlpool,Turbo Scrub Technology,10990,4.4,7.0,Semi Automatic,Top Load,2.0
Reliance,Washer only,5290,3.3,7.5,,,1.0
Haier,Maroon,10886,4.3,6.5,Semi Automatic,Top Load,2.0
Haier,NA,15328,4.3,10.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Lloyd,by Havells �|1300 RPM|Soak Function|4 Wash Programs|Memory Back-up| Magic Filter| Wash Ba...,10990,4.3,8.5,,,2.0
Voltas,Beko,16990,4.7,14.0,Semi Automatic,Top Load,
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Godrej,with i-wash Technology,20939,4.3,6.2,Fully Automatic,Top Load,2.0
Samsung,Hygiene Steam with In-built Heater Bla...,37990,4.3,9.0,Fully Automatic,Front Load,2.0
Godrej,AI Tech Steam Wash with In-built Heate...,34746,4.0,9.0,Fully Automatic,Front Load,4.0
Samsung,NA,23499,4.5,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
MOTOROLA,Smart Wi-Fi Enabled Enabled Steam Wash Inverter Technology ...,30190,4.0,10.5,Fully Automatic,Front Load,2.0
BOSCH,with In-built Heater,37700,4.3,9.0,Fully Automatic,Front Load,
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Samsung,Diamond Drum,14790,4.3,7.0,Fully Automatic,Top Load,2.0
IFB,Powe by AI � with2x Steam Cycle with In...,33990,4.3,8.0,Fully Automatic,Front Load,4.0
