Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
BOSCH,with In-built Heater,42999,,10.0,Fully Automatic,Front Load,3.0
Voltas,Beko by A Tata Product with Fast Dry Double Waterfall 5 Wing Pulsator Top...,14999,4.3,7.0,Semi Automatic,,2.0
Samsung,Eco Bubble Technology with Super Speed AI Control Wi-Fi Enabled Digital Inve...,42700,4.4,9.0,,,2.0
Lloyd,NA,25490,,8.0,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Voltas,Beko with In-built Heater,26590,,8.0,Fully Automatic,Front Load,3.0
Whirlpool,with In-built Heater,31490,5.0,9.0,Fully Automatic,Front Load,1.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
Whirlpool,Maroon,9990,,7.0,Semi Automatic,Top Load,4.0
IFB,NA,23490,4.3,7.0,Fully Automatic,Top Load,4.0
IFB,2X Power Steam Hard Water Wash with In-buil...,34606,4.3,7.0,Fully Automatic,Front Load,4.0
Whirlpool,with In-built Heater,17590,3.6,8.0,Fully Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
White,Westinghouse (Trademark by Electrolux),12999,3.7,6.5,Fully Automatic,Top Load,2.0
Lloyd,by Havells,19000,3.7,7.5,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product with Fountain Wash Baffle Filter and Eco Wash with 10 Wash Progr...,17290,3.9,6.5,,,3.0
Panasonic,NA,20221,,8.0,Fully Automatic,Top Load,2.0
Lloyd,NA,25490,,8.0,Fully Automatic,Top Load,2.0
Godrej,With Flexi Wash Technology And Soft-Close Lid Top...,18690,3.9,7.5,Fully Automatic,,3.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
Whirlpool,with In-built Heater,31490,5.0,9.0,Fully Automatic,Front Load,1.0
Samsung,with Wi-Fi Enabled with In-built Heater,28897,3.6,8.0,Fully Automatic,Top Load,3.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Samsung,with Steam Wi-Fi Enabled with In-built Heater...,34290,4.4,8.0,Fully Automatic,Front Load,2.0
Panasonic,with In-built Heater,25747,4.4,10.0,Fully Automatic,Top Load,2.0
Lloyd,by Havells Toughened Glass Soft Closing Glass Lids 1300 RPM Soak Function 5 Wash Program...,14090,4.3,9.0,,,
Godrej,Zero Pressure Technology With Roller Coaster Wash and Advanced Digital Display Full...,18990,,8.0,,,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
Whirlpool,Magic Clean,17490,4.1,6.5,Fully Automatic,Top Load,2.0
BOSCH,AntiTangle AntiVibration 1200RPM with In-built H...,33129,4.5,8.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Lloyd,by Havells,14699,4.3,9.0,Semi Automatic,Top Load,2.0
Admiral,NA,12649,3.6,6.0,Fully Automatic,Top Load,3.0
Samsung,with In-built Heater,48999,4.3,11.0,Fully Automatic,Front Load,2.0
IFB,& Voice Enabled Dual-tone with IMD panel Anti- Allergen Front Loa...,27370,4.3,6.5,Fully Automatic,,4.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Samsung,Air Turbo Drying Purple,13462,4.4,7.0,Semi Automatic,Top Load,
Godrej,NA,21000,4.5,7.0,Fully Automatic,Top Load,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Samsung,NA,13751,4.1,7.5,Semi Automatic,Top Load,
Haier,NA,11201,3.7,7.0,Semi Automatic,Top Load,1.0
White,Westinghouse (Trademark by Electrolux),12999,3.7,6.5,Fully Automatic,Top Load,2.0
Whirlpool,NA,15250,4.2,6.5,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Whirlpool,NA,21447,4.6,6.5,Fully Automatic,Top Load,2.0
Panasonic,8 Wash Program AquaBeat Wash,13990,4.3,6.0,Fully Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
LG,Electronics,16299,4.4,9.5,Semi Automatic,Top Load,2.0
Sharp,NA,9989,,8.0,Semi Automatic,Top Load,2.0
BOSCH,9/ Washer with Dryer Inverter 1400RPM Ready to Wear Clothes with In-built Heater,61059,4.4,6.0,,,
Uniboom,NA,18990,,7.5,Semi Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Admiral,NA,12649,3.6,6.0,Fully Automatic,Top Load,3.0
Lloyd,with In-built Heater,17999,,7.5,Fully Automatic,Top Load,1.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
BOSCH,with In-built Heater,49999,5.0,10.0,Fully Automatic,Front Load,
Haier,with In-built Heater,24850,,8.0,Fully Automatic,Top Load,3.0
Godrej,NA,17289,,7.0,Fully Automatic,Top Load,10.0
BOSCH,1400RPM,44455,4.4,8.0,Fully Automatic,Front Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
BOSCH,NA,21999,4.0,7.0,Fully Automatic,Top Load,2.0
ONIDA,NA,13284,,8.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Samsung,NA,12292,4.1,6.5,Semi Automatic,Top Load,
IFB,with In-built Heater Multicolor,23899,,8.0,Fully Automatic,Top Load,4.0
BOSCH,AntiTangle AntiVibration 1200RPM with In-built H...,32990,4.4,8.0,Fully Automatic,Front Load,
Sharp,NA,8380,,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
BOSCH,with In-built Heater,39990,,8.0,Fully Automatic,Front Load,2.0
Equator,with 99.9% Dry Clothes Automatic Temperature control Dryer with In-built Heater,13566,3.3,2.5,,,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Power,Guard,9749,,7.5,Semi Automatic,Top Load,2.0
BOSCH,with In-built Heater,36989,,9.0,Fully Automatic,Front Load,2.0
BOSCH,with In-built Heater,38490,,8.0,Fully Automatic,Front Load,2.0
Samsung,NA,34645,4.7,7.0,Fully Automatic,Front Load,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Acer,NA,12499,3.3,6.5,Fully Automatic,Top Load,2.0
IFB,NA,17460,,6.5,Fully Automatic,Top Load,4.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Admiral,Maroon,8999,4.2,6.5,Semi Automatic,Top Load,3.0
Godrej,NA,15900,,7.0,Fully Automatic,Top Load,2.0
Acer,NA,15499,4.1,12.0,Semi Automatic,Top Load,2.0
IFB,4D Wash Technology & illumination Knob w...,37000,4.4,8.5,Fully Automatic,Front Load,4.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
BOSCH,with In-built Heater,35189,,8.0,Fully Automatic,Front Load,3.0
Haier,NA,13990,4.2,8.5,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Whirlpool,Supersoak Technology Purple,11990,4.4,8.0,Semi Automatic,Top Load,2.0
IFB,with In-built Heater,33670,,8.0,Fully Automatic,Front Load,4.0
TOSHIBA,with In-built Heater,43490,,8.0,Fully Automatic,Front Load,4.0
Samsung,with Wi-Fi Enabled,30990,4.3,10.0,Fully Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Lloyd,by Havells 1300 RPM Soak Function 3 Wash Programs Swift Dry Magic Filter ...,16855,4.3,8.0,Semi Automatic,,2.0
BOSCH,with In-built Heater,31490,4.6,7.0,Fully Automatic,Front Load,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Whirlpool,NA,17490,,7.5,Fully Automatic,Top Load,2.0
Haier,NA,13490,4.2,8.5,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,14080,4.5,8.0,Semi Automatic,Top Load,
Admiral,NA,9490,4.2,7.5,Semi Automatic,Top Load,3.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Hafele,with In-built Heater,25990,,7.0,Fully Automatic,Front Load,3.0
Acer,with In-built Heater Maroon,17490,,8.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
BOSCH,Maroon,24900,4.0,7.5,Fully Automatic,Top Load,2.0
Godrej,NA,19676,,7.0,Fully Automatic,Top Load,10.0
Samsung,with Wi-Fi Enabled,30990,4.3,10.0,Fully Automatic,Top Load,2.0
Samsung,with In-built Heater,53138,,13.0,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
BOSCH,Drive Motor Anti Tangle Anti Vibration,30299,4.4,6.0,Fully Automatic,Front Load,
Whirlpool,NA,17834,3.6,8.5,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Whirlpool,Maroon,10390,,7.0,Semi Automatic,Top Load,4.0
Admiral,NA,9490,4.2,7.5,Semi Automatic,Top Load,3.0
LG,NA,22799,4.3,7.5,Fully Automatic,Top Load,2.0
Whirlpool,with In-built Heater,17490,3.7,8.0,Fully Automatic,Top Load,1.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Godrej,with In-built Heater,28999,,7.0,Fully Automatic,Front Load,2.0
Haier,NA,17618,3.5,7.0,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Samsung,with Steam Wi-Fi Enabled with In-built Heater...,49312,4.1,8.0,Fully Automatic,Front Load,2.0
Whirlpool,with In-built Heater,17040,3.1,9.5,Semi Automatic,Top Load,2.0
Panasonic,with In-built Heater,31390,4.2,8.0,Fully Automatic,Front Load,2.0
Samsung,NA,37990,4.3,11.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
Godrej,NA,20490,,12.0,Semi Automatic,Top Load,5.0
Intex,with In-built Heater,22390,3.9,6.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
IFB,with In-built Heater,55999,,10.0,Fully Automatic,Front Load,
Godrej,with In-built Heater,21999,4.3,7.0,Fully Automatic,Top Load,2.0
BOSCH,1200RPM with In-built Heater,31990,,7.5,Fully Automatic,Front Load,3.0
Haier,with In-built Heater,25490,5.0,7.5,Fully Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Godrej,with In-built Heater,20500,4.0,7.0,Fully Automatic,Top Load,2.0
Lloyd,by Havells Pink,17488,3.8,9.0,Semi Automatic,Top Load,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
BOSCH,with In-built Heater,29820,,7.0,Fully Automatic,Front Load,2.0
Voltas,Beko by A Tata Product,12999,4.3,8.0,Semi Automatic,Top Load,2.0
LG,with Steam Wi-Fi Enabled with In-built Heater Silv...,50890,,11.0,Fully Automatic,Front Load,1.0
TOSHIBA,Inverter COLOR ALIVE Drum Clean Technology w...,27876,,7.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
IFB,with In-built Heater,23930,,8.0,Fully Automatic,Top Load,4.0
IFB,with In-built Heater,28919,,7.0,Fully Automatic,Front Load,4.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Samsung,with Wi-Fi Enabled5 Star,42990,4.6,9.0,Fully Automatic,Front Load,
Lloyd,by Havells,17899,3.7,6.5,Fully Automatic,Top Load,2.0
Godrej,with In-built Heater,29480,3.5,8.0,Fully Automatic,Front Load,2.0
Whirlpool,with In-built Heater,19490,,7.5,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Sharp,NA,11990,,9.0,Semi Automatic,Top Load,2.0
BOSCH,with In-built Heater,45000,,10.0,Fully Automatic,Front Load,3.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Lloyd,by Havells,17499,,7.0,Fully Automatic,Top Load,
BOSCH,Maroon,20490,,6.5,Fully Automatic,Top Load,2.0
IFB,8.5/ Washer with Dryer Refresher 3-in-1 Laundrimagic Wi-Fi Enabled Inverter with Steam Ready...,58990,4.0,6.5,,,4.0
TOSHIBA,with In-built Heater,29700,3.3,7.5,Fully Automatic,Front Load,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
TOSHIBA,with In-built Heater,33900,5.0,8.0,Fully Automatic,Front Load,4.0
LG,with Inverter with In-built Heater,41990,4.5,9.0,Fully Automatic,Front Load,
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
LG,with Inverter with In-built Heater,36990,4.2,7.0,Fully Automatic,Front Load,
Samsung,with In-built Heater,41970,,9.0,Fully Automatic,Front Load,2.0
LG,withWi-Fi Enabled with In-built Heater,48990,3.9,11.0,Fully Automatic,Front Load,1.0
Samsung,with Steam,35000,4.3,6.5,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
LG,with In-built Heater,36990,4.3,7.0,Fully Automatic,Front Load,
Samsung,10 Washer with Dryer with Wi-Fi EnabledReady to Wear Clothes with In-built Heater,74990,,,,,3.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Samsung,8/ Washer with Dryer With Steam AI Control Wi-Fi EnabledReady to Wear Clothes,65999,,6.0,,,10.0
Hafele,with In-built Heater,31490,,9.0,Fully Automatic,Front Load,3.0
Intex,NA,11990,4.2,7.5,Fully Automatic,Top Load,2.0
IFB,9/ Washer with Dryer AI Powe 30 min Steam Refresh Program 100% Dry Ready-to-Wear Clothes ...,50990,4.0,6.0,,,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Samsung,with In-built Heater,39999,3.7,12.0,Fully Automatic,Front Load,2.0
LG,with Wi-Fi Enabled,41990,4.3,8.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
IFB,Dryer,22500,,5.5,,,10.0
Godrej,NA,15124,,6.5,Fully Automatic,Top Load,
Samsung,with In-built Heater,44229,3.7,12.0,Fully Automatic,Front Load,2.0
Admiral,with In-built Heater,18399,3.0,8.0,Fully Automatic,Top Load,3.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Panasonic,with In-built Heater,44074,,13.5,Fully Automatic,Top Load,2.0
LG,with Wi-Fi Enabled with In-built Heater,38990,4.6,7.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Voltas,Beko with In-built Heater,25490,,9.0,Fully Automatic,Top Load,10.0
Samsung,with In-built Heater,57990,,12.0,Fully Automatic,Front Load,2.0
Samsung,with In-built Heater,58990,,12.0,Fully Automatic,Front Load,2.0
IFB,with In-built Heater,33910,3.3,8.0,Fully Automatic,Front Load,4.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,with In-built Heater,43623,,10.5,Fully Automatic,Front Load,1.0
Haier,with In-built Heater,23000,,7.5,Fully Automatic,Top Load,1.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Lloyd,by Havells Purple,20500,,8.0,Semi Automatic,Top Load,2.0
Lloyd,by Havells Beige,15499,3.5,8.5,Semi Automatic,Top Load,2.0
LG,withWi-Fi Enabled,21524,,6.5,Fully Automatic,Top Load,2.0
LG,with Wi-Fi EnabledAI Direct Drive Technology with ...,49990,,11.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
BLACK+DECKER,+DECKER with In-built Heater,29999,,9.0,Fully Automatic,Top Load,2.0
BLACK+DECKER,+DECKER with In-built Heater,27999,,8.0,Fully Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Whirlpool,with In-built Heater,39899,,6.5,Fully Automatic,Front Load,3.0
Haier,with In-built Heater,31990,,8.0,Fully Automatic,Front Load,2.0
